е,e,CONSONANT,CONSONANT
къу,qʷ,,
ку,kʷ,,
гу,ɡʷ,,
гъу,ʁʷ,,
кӏу,kʷʼ,,
ху,xʷ,,
у,w,,VOWEL
у,w,VOWEL,\b
у,u,,CONSONANT
у,u,CONSONANT,\b
у,wə,,
и,i,CONSONANT,CONSONANT
и,i,CONSONANT,\b
а,aː,,
э,a,,
б,b,,
в,v,,
гъ,ʁ,,
г,ɣ,,
дж,d͡ʒ,,
дз,d͡z,,
д,d,,
е,ja,\b,
жь,ʑ,,
ж,ʒ,,
з,z,,
й,j,,
и,jə,,
кӏ,t͡ʃʼ,,
кхъу,q͡χʷ,,
кхъ,q͡χ,,
къ,q,,
к,k,,
лъ,ɬ,,
лӏ,ɬʼ,,
л,ɮ,,
м,m,,
н,n,,
о,o,,
пӏ,pʼ,,
п,p,,
р,r,,
с,s,,
тӏ,tʼ,,
т,t,,
фӏ,fʼ,,
ф,f,,
хь,ħ,,
хъу,χʷ,,
хъ,χ,,
х,x,,
цӏ,t͡sʼ,,
ц,t͡s,,
ч,t͡ʃ,,
ш,ʃ,,
щӏ,ɕʼ,,
щ,ɕ,,
ы,ə,,
я,jaː,,
ӏу,ʔʷ,,
ӏ,ʔ,,
