a,a,,
a',ˈa,,,  primary stress?
ạ,ạ,,,   what is the underdot?  voiceless?
ạ́,ạ',,,	what is the apostrophe here? Stress?
æ,æ,,
æ',ǽ,,,	?
c,ts,,
c̣,c̣,,,  what is the underdot?
θ,θ,,
c',tsʼ,,, c̓ rather than c'?
č,ʧ,,
č̓,č',,,  ʧʼ  ?
ǰ,ʤ,,
ɛ,ɛ,,
ɛ́,ɛ',,,  ?
ʌ,ʌ,,
ə,ə,,
e,ə,,
ə́,ə',,,  ?
ə̣́,ə̣',,,  ? ?
ʌ́,ʌ',,,  ?
g,ɡ,,
gʷ,ɡʷ,,
h,h,,
ḥ,h,,
ḥʷ,ḥʷ,,,  hʷ  ?
i,i,,
i',ˈi,,,  primary stress?
ɣ,ɣ,,
ɣ',ɣˀ,,,   glotallized
k,k,,
k',kʼ,,
kʷ,kʷ,,
k'ʷ,kʼʷ,,
l,l,,
l',lˀ,,
ḷ,ḷ,,,  ?
ɬ,ɬ,,
ł,ɬ,,
ƛ',tɬʼ,,
m,m,,
m',mˀ,,
n,n,,
n',nˀ,,
ṇ,ṇ,,,   ?
ŋ,ŋ,,
o,o,,
o',ˈo,,,  stress?
ó,ó,,,   ?
ɔ,ɔ,,
ɔ́,ɔ',,,  ?
p,p,,
p',pʼ,,
q,q,,
q',qʼ,,
qʷ,qʷ,,
q'ʷ,qʼʷ,,
r,ɾ,,
r',ɾˀ,,
s,s,,
ṣ,ṣ,,,  ?
t,t,,
t',tʼ,,
ť,tʼ,,
ʕ,ʕ,,
ʕ',ʕˀ,,
u,u,,
u',ˈu,,,  stress?
ú,u',,,  ?
ụ,ụ,,,  ?
ụ́,ụ',,,  ? ?
ʕʷ,ʕʷ,,
ʕ'ʷ,ʕˀʷ,,
x̌,χ,,
x,x,,
x̣,x̣,,,   uvular fricative?
x̣ʷ,x̣ʷ,,
w,w,,
y,j,,
x̌ʷ,χʷ,,
xʷ,xʷ,,
w',wˀ,,
w,w,,
y',jˀ,,
ʷ,ʷ,,
ʡ,ʡ,,,  ?
ʔ,ʔ,,
ˀ,ˀ,,
z',z̓,,,  ?
